"Service","Claude Sonnet 4.5 ( Bedrock Edition)($)","Security Hub($)","Key Management Service($)","Claude 3 Haiku ( Bedrock Edition)($)","Tax($)","CloudWatch($)","Config($)","GuardDuty($)","SNS($)","Claude Haiku 4.5 ( Bedrock Edition)($)","S3($)","Payment Cryptography($)","Cost Explorer($)","Secrets Manager($)","CloudTrail($)","Location Service($)","Glue($)","SQS($)","Step Functions($)","WAF($)","Inspector($)","Total costs($)"
"Service total","1407.825422685","11.4963233","6.2119280582","5.49532725","4.63","2.2131611893","2.032415","1.0697894669","0.1156823943","0.0465696","0.0198880434","0.01732654","0.0077","0.00344575","0.00105259","0.0000924","0.00008624","0.000085008","9.8e-9","0","0","1441.1862955249"
"2025-11-01","","0.52668","0.201372036","","4.56","0.072729012","0.07777","0.0295620248","0.003534993","","0.0006545165","0.00101024","","0.0001078","0.00003157","","0","0.000002772","","0","0","5.4734549643"
"2025-11-02","7.965784035","0.504504","0.205763004","0.0054355","","0.0739538857","0.09163","0.0577842034","0.0036167725","","0.00066153","0.00101024","0.0077","0.00011165","0.00003311","","0","0.00000308","0.0000000013","0","0","8.9179910119"
"2025-11-03","45.924344565","0.48048","0.2046034695","0.1688315","","0.0738150165","0.067914","0.0305953186","0.003737097","","0.0006265902","0.00101024","","0.00010395","0.00004235","","0.00000308","0.000002464","","0","0","46.9561096408"
"2025-11-04","99.89654928","0.48048","0.205684464","0.4345875","","0.0742259166","0.067914","0.0302821134","0.0036024681","","0.000674079","0.00101024","","0.0001155","0.0000308","","0.00000308","0.00000308","0.0000000011","0","0","101.1951625222"
"2025-11-05","119.547547185","0.440748","0.205672914","0.429467","","0.0745046494","0.067914","0.0298713954","0.003884336","","0.0006506805","0.00101024","","0.00011165","0.00003157","","0.00000308","0.000002772","","0","0","120.8014194723"
"2025-11-06","90.363732525","0.421036","0.205684464","0.3369665","","0.0755367634","0.067914","0.0299433134","0.0038220849","","0.0006618702","0.00101024","","0.0001155","0.00003157","","0.00000308","0.00000308","","0","0","91.5064609909"
"2025-11-07","26.211405495","0.392084","0.205661364","0.119508","","0.074992541","0.09317","0.0315295134","0.0037037888","","0.0006265711","0.00101024","","0.0001078","0.00003311","","0.00000308","0.000002464","","0","0","27.1338379673"
"2025-11-08","","0.381612","0.205684464","","","0.0713249362","0.06776","0.0295753766","0.0037534918","","0.0006660544","0.00101024","","0.0001155","0.00003157","","0.00000308","0.00000308","","0","0","0.761539793"
"2025-11-09","0.859393755","0.352044","0.205751454","0.00223425","","0.0721336826","0.06776","0.0570486994","0.003717882","","0.0006582683","0.00101024","","0.00011165","0.00003311","","0.00000308","0.000002772","0.0000000011","0","0","1.6219028444"
"2025-11-10","17.947376535","0.359898","0.205672914","0.172753","","0.0724384503","0.08162","0.0322490322","0.0037819025","","0.0006499953","0.00101024","","0.00011165","0.00003234","","0.00000308","0.000002772","","0","0","18.8775999113"
"2025-11-11","24.48071505","0.352044","0.205638264","0.5590035","","0.0723554929","0.06776","0.0299546786","0.0037921029","","0.000649806","0.00101024","","0.0001078","0.00003157","","0.00000308","0.000002464","0.0000000011","0","0","25.7730680495"
"2025-11-12","40.336319925","0.352044","0.205661364","0.1368435","","0.0725704306","0.056441","0.0298881814","0.0036655964","","0.0006188796","0.00101024","","0.0001078","0.00003157","","0.00000308","0.000002464","","0","0","41.195208031"
"2025-11-13","103.134625275","0.354354","0.205672914","0.2727135","","0.0734931615","0.070301","0.0295749454","0.0040670322","","0.000661556","0.00101024","","0.00011165","0.00003234","","0.00000308","0.000002772","","0","0","104.1466234661"
"2025-11-14","73.542811815","0.352044","0.205672914","0.273344","","0.0727846096","0.056441","0.0298588829","0.0036965042","","0.000654859","0.00083314","","0.00011165","0.00003157","","0.00000308","0.000002772","","0","0","74.5382907967"
"2025-11-15","","0.352044","0.205684464","","","0.0716843861","0.056441","0.0297675609","0.0037536527","","0.0006699136","0.00065604","","0.0001155","0.00003157","","0.00000308","0.00000308","","0","0","0.7208542473"
"2025-11-16","","0.352044","0.205751454","","","0.0729740792","0.056441","0.0572288717","0.0037935455","","0.0006549048","0.00065604","","0.00011165","0.00003311","","0.00000308","0.000002772","","0","0","0.7496945072"
"2025-11-17","41.361984345","0.352044","0.205672914","0.12628175","","0.072515588","0.056441","0.0296746989","0.0036668928","","0.0006541793","0.00065604","","0.00011165","0.00003157","","0.00000308","0.000002772","","0","0","42.20974048"
"2025-11-18","73.452367725","0.367752","0.205672914","0.22081375","","0.0732761458","0.081851","0.0346436937","0.0038876915","","0.0006461655","0.00034804","","0.00011165","0.00003311","","0.00000308","0.000002772","0.0000000013","0","0","74.4414097388"
"2025-11-19","86.95764825","0.355586","0.2046150195","0.43171025","","0.0733259463","0.072611","0.0304997385","0.0039445455","","0.000681799","0.00034804","","0.00011935","0.00003234","0.0000077","0.00000308","0.00000308","","0","0","88.1311361388"
"2025-11-20","123.43307922","0.390621","0.205672914","0.364707","","0.0733938416","0.056441","0.0305558253","0.0039167972","","0.0006474267","0.00034804","","0.0001155","0.00003157","0.0000077","0.00000308","0.000002772","0.0000000013","0","0","124.5595436881"
"2025-11-21","40.96204794","0.485177","0.205684464","0.15171","","0.0722844261","0.056441","0.0302470861","0.0037701105","","0.0006814518","0.00034804","","0.00011935","0.00003157","0.0000077","0.00000308","0.00000308","","0","0","41.9685562985"
"2025-11-22","","0.36498","0.205661364","","","0.0718340228","0.056441","0.0300831069","0.003828878","","0.0006391149","","","0.00011165","0.00003157","0.0000077","0.00000308","0.000002464","","0","0","0.7336239506"
"2025-11-23","","0.352044","0.205728354","","","0.0729273347","0.056441","0.0580107605","0.0039825792","","0.0006728321","","","0.0001155","0.00003311","0.0000077","0.00000308","0.000002772","","0","0","0.7499690225"
"2025-11-24","63.45978177","0.359898","0.205672914","0.17241525","","0.0729148027","0.070301","0.0329719005","0.0038690517","","0.0006548367","","","0.0001155","0.00003234","0.0000077","0.00000308","0.000002772","","0","0","64.3786409176"
"2025-11-25","96.275512575","0.3544233","0.205684464","0.2589785","","0.0734284052","0.070301","0.0304557253","0.0040256497","","0.0006792233","","","0.00011935","0.00003234","0.0000077","0.00000308","0.00000308","0.0000000013","0","0","97.2736543938"
"2025-11-26","91.403938065","0.336798","0.205730664","0.311108","0","0.074242563","0.081851","0.0386997457","0.0041267651","0.0452243","0.0006464724","","","0.0001155","0.00009933","0.0000077","0.00000308","0.000002772","0.0000000013","0","0","92.5025939585"
"2025-11-27","120.395755425","0.26334","0.205684464","0.49048075","","0.0738885041","0.056441","0.0303852857","0.0040070081","","0.0006747119","","","0.00011935","0.00003157","0.0000077","0.00000308","0.00000308","","0","0","121.5208219288"
"2025-11-28","19.91270193","0.26334","0.205661364","0.05543425","","0.0720958411","0.056441","0.0303568881","0.0038553962","0.0013453","0.0006468236","","","0.00011165","0.00003157","0.0000077","0.00000308","0.000002464","","0","0","20.602035257"
"2025-11-29","","0.26334","0.205684464","","","0.0721201913","0.056441","0.0301112889","0.0038835416","","0.0006740669","","","0.00011935","0.00003157","0.0000077","0.00000308","0.00000308","","0","0","0.6324193327"
"2025-11-30","","0.26334","0.205751454","","","0.0724639581","0.056441","0.0583012661","0.0038359257","","0.0006712901","","","0.0001155","0.00003311","0.0000077","0.00000308","0.000002772","","0","0","0.660967056"
"2025-12-01","","0.2695","0.0477184052","","0.07","0.0209326049","0.03234","0.0100783452","0.001158311","","0.0001775747","","","0.0000462","0.00001309","","0","0.000000616","","0","0","0.451965147"
"2025-12-02","","","","","","","","","","","","","","","","","","","","","","0"
